NODE OR WAY|QUESTION|ID|KEY|SCORE|VALIDATING|ANSWERS|shape|ICON
WAY|La strada è illuminata?|394.0|note_illum|3.0|no|si a tratti, si, no|LINESTRING (1291901.583584997 5596474.068735361, 1291909.226580874 5596467.864751983, 1291925.649747383 5596455.99695913)|radio_button_checked
WAY|La segnaletica è orizzontale, verticale o entrambi?|228.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|La strada è una corsia riservata o no?|228.0|illuminaz|3.0|no|SEDE PROMISCUA PEDONALI E CICLABILI, CORSIA RISERVATA SU MARCIAPIEDE, SEDE PROPRIA, CORSIA RISERVATA SU SEDE STRADALE, SEDE PROMISCUA CICLABILI E VEICOLARI ZTL|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|La strada è illuminata?|228.0|note_illum|3.0|no|si a tratti, si, no|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|E' una strada a doppio senso o senso unico?|228.0|senso_marc|3.0|no|doppio senso, senso unico|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|E' un centro abitato?|228.0|c_abitato|2.0|no|sì, no|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|Di che superficie è fatta la strada?|228.0|tipo_fondo|3.0|no|asfalto, bettonella, cemento, stabilizzato, asfalto e bettonella, ghiaia, porfido, legno, autobloccante, pavimentato|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|Su cosa si trova la ciclabile?|228.0|sede|3.0|no|su marciapiede, rilevato, rampa, in argine, in trincea, su ponte, A raso|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|Su cosa si trova la strada ciclabile?|228.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)|radio_button_checked
WAY|La strada è illuminata?|884.0|note_illum|3.0|no|si a tratti, si, no|LINESTRING (1294998.88389357 5593253.99525961, 1294991.60534506 5593326.14375117)|radio_button_checked
WAY|Su cosa si trova la strada ciclabile?|884.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294998.88389357 5593253.99525961, 1294991.60534506 5593326.14375117)|radio_button_checked
WAY|La strada è illuminata?|848.0|note_illum|3.0|no|si a tratti, si, no|LINESTRING (1292744.56157591 5597644.32467612, 1292715.62445101 5597664.37512407)|radio_button_checked
WAY|Su cosa si trova la strada ciclabile?|848.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292744.56157591 5597644.32467612, 1292715.62445101 5597664.37512407)|radio_button_checked
WAY|La segnaletica è orizzontale, verticale o entrambi?|856.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)|radio_button_checked
WAY|La strada è una corsia riservata o no?|856.0|illuminaz|3.0|no|SEDE PROMISCUA PEDONALI E CICLABILI, CORSIA RISERVATA SU MARCIAPIEDE, SEDE PROPRIA, CORSIA RISERVATA SU SEDE STRADALE, SEDE PROMISCUA CICLABILI E VEICOLARI ZTL|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)|radio_button_checked
WAY|La strada è illuminata?|856.0|note_illum|3.0|no|si a tratti, si, no|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)|radio_button_checked
WAY|E' una strada a doppio senso o senso unico?|856.0|senso_marc|3.0|no|doppio senso, senso unico|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)|radio_button_checked
WAY|Di che superficie è fatta la strada?|856.0|tipo_fondo|3.0|no|asfalto, bettonella, cemento, stabilizzato, asfalto e bettonella, ghiaia, porfido, legno, autobloccante, pavimentato|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)|radio_button_checked
