NODE OR WAY|QUESTION|ID|KEY|SCORE|VALIDATING|ANSWERS|shape
WAY|La segnaletica è orizzontale, verticale o entrambi?|228.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)
WAY|Su cosa si trova la strada ciclabile?|228.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292950.369386473 5598517.649177224, 1292969.286641651 5598526.919394608)
WAY|Su cosa si trova la strada ciclabile?|884.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294998.88389357 5593253.99525961, 1294991.60534506 5593326.14375117)
WAY|Su cosa si trova la strada ciclabile?|848.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292744.56157591 5597644.32467612, 1292715.62445101 5597664.37512407)
WAY|La segnaletica è orizzontale, verticale o entrambi?|169.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1292393.597931828 5593267.653399809, 1292387.271940667 5593273.073125674)
WAY|Su cosa si trova la strada ciclabile?|169.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292393.597931828 5593267.653399809, 1292387.271940667 5593273.073125674)
WAY|La segnaletica è orizzontale, verticale o entrambi?|856.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)
WAY|Su cosa si trova la strada ciclabile?|856.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294507.652046811 5593988.723985295, 1294485.041766027 5593987.666408159, 1294475.333444514 5593987.213734416, 1294457.408686048 5593985.108087646, 1294440.063298236 5593981.191858118, 1294436.224342979 5593980.804559944, 1294418.363643885 5593977.258770042)
WAY|Su cosa si trova la strada ciclabile?|1012.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294441.38825262 5593690.29026801, 1294453.43713179 5593686.32479609, 1294453.51346569 5593686.19523818)
WAY|Su cosa si trova la strada ciclabile?|976.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1296753.98188944 5600037.463390978, 1296740.356022477 5599967.769465146)
WAY|Su cosa si trova la strada ciclabile?|1027.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1295850.86517383 5595321.17908702, 1295811.69875515 5595211.54844598)
WAY|La segnaletica è orizzontale, verticale o entrambi?|278.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1294541.608146084 5593811.392714165, 1294559.201296549 5593814.055432405)
WAY|Su cosa si trova la strada ciclabile?|278.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294541.608146084 5593811.392714165, 1294559.201296549 5593814.055432405)
WAY|La segnaletica è orizzontale, verticale o entrambi?|532.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1289830.562425306 5591131.784221031, 1289898.853475283 5591071.832424292, 1289962.262245178 5591021.221760274, 1290075.600508183 5590932.11064346, 1290114.514521128 5590902.193990746, 1290123.816463379 5590893.317451023, 1290162.384097452 5590863.411793566, 1290232.570630207 5590805.394900988, 1290273.245310914 5590774.901964905, 1290276.197240766 5590773.103860039, 1290354.154082976 5590710.526162679)
WAY|Su cosa si trova la strada ciclabile?|532.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1289830.562425306 5591131.784221031, 1289898.853475283 5591071.832424292, 1289962.262245178 5591021.221760274, 1290075.600508183 5590932.11064346, 1290114.514521128 5590902.193990746, 1290123.816463379 5590893.317451023, 1290162.384097452 5590863.411793566, 1290232.570630207 5590805.394900988, 1290273.245310914 5590774.901964905, 1290276.197240766 5590773.103860039, 1290354.154082976 5590710.526162679)
WAY|La segnaletica è orizzontale, verticale o entrambi?|218.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1298567.689054633 5592266.846292558, 1298568.165001419 5592266.6114298, 1298618.522889774 5592241.691438834, 1298680.386877275 5592210.663356152, 1298722.676698277 5592190.167698355, 1298766.774737368 5592168.133533671, 1298855.822944357 5592123.573139528, 1298900.965890531 5592100.720516119, 1298945.454424441 5592078.882502228, 1298988.088267242 5592057.00613529, 1299032.300103502 5592035.463843678, 1299041.33247956 5592031.020807762)
WAY|Su cosa si trova la strada ciclabile?|218.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1298567.689054633 5592266.846292558, 1298568.165001419 5592266.6114298, 1298618.522889774 5592241.691438834, 1298680.386877275 5592210.663356152, 1298722.676698277 5592190.167698355, 1298766.774737368 5592168.133533671, 1298855.822944357 5592123.573139528, 1298900.965890531 5592100.720516119, 1298945.454424441 5592078.882502228, 1298988.088267242 5592057.00613529, 1299032.300103502 5592035.463843678, 1299041.33247956 5592031.020807762)
WAY|La segnaletica è orizzontale, verticale o entrambi?|552.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1294977.22371914 5593174.365654207, 1294977.869215516 5593160.794698771)
WAY|Su cosa si trova la strada ciclabile?|552.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294977.22371914 5593174.365654207, 1294977.869215516 5593160.794698771)
WAY|La segnaletica è orizzontale, verticale o entrambi?|195.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1285940.987809849 5599257.261230884, 1285925.79572212 5599242.224516165, 1285919.651000875 5599235.283646511, 1285914.211271343 5599225.5484182, 1285909.08727151 5599213.417667723, 1285905.670797881 5599205.197991323, 1285904.018547388 5599202.875567194, 1285899.575451742 5599193.506531603, 1285895.870179482 5599182.391329991, 1285888.599595505 5599160.587275505, 1285885.841891587 5599152.313734218, 1285883.298763379 5599146.84971381, 1285880.738382818 5599139.101308278)
WAY|Su cosa si trova la strada ciclabile?|195.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1285940.987809849 5599257.261230884, 1285925.79572212 5599242.224516165, 1285919.651000875 5599235.283646511, 1285914.211271343 5599225.5484182, 1285909.08727151 5599213.417667723, 1285905.670797881 5599205.197991323, 1285904.018547388 5599202.875567194, 1285899.575451742 5599193.506531603, 1285895.870179482 5599182.391329991, 1285888.599595505 5599160.587275505, 1285885.841891587 5599152.313734218, 1285883.298763379 5599146.84971381, 1285880.738382818 5599139.101308278)
WAY|La segnaletica è orizzontale, verticale o entrambi?|1402.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1294719.904928901 5587291.554327314, 1294542.86187348 5587253.646807797)
WAY|Su cosa si trova la strada ciclabile?|1402.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1294719.904928901 5587291.554327314, 1294542.86187348 5587253.646807797)
WAY|La segnaletica è orizzontale, verticale o entrambi?|487.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1293446.721370245 5596813.721940311, 1293382.559193858 5596827.494403987, 1293265.287902538 5596847.556534973, 1293174.424799507 5596863.8054493)
WAY|Su cosa si trova la strada ciclabile?|487.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1293446.721370245 5596813.721940311, 1293382.559193858 5596827.494403987, 1293265.287902538 5596847.556534973, 1293174.424799507 5596863.8054493)
WAY|La segnaletica è orizzontale, verticale o entrambi?|30.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1291868.118888033 5595452.84976901, 1291666.53700528 5595594.268071475, 1291642.184897647 5595611.208513958)
WAY|Su cosa si trova la strada ciclabile?|30.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1291868.118888033 5595452.84976901, 1291666.53700528 5595594.268071475, 1291642.184897647 5595611.208513958)
WAY|La segnaletica è orizzontale, verticale o entrambi?|581.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1295793.13146927 5595741.91881546, 1295315.97758522 5595913.71390045, 1295311.51477875 5596209.54088768, 1295291.29538897 5596355.69706088, 1295272.736967422 5596417.187224205)
WAY|Su cosa si trova la strada ciclabile?|581.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1295793.13146927 5595741.91881546, 1295315.97758522 5595913.71390045, 1295311.51477875 5596209.54088768, 1295291.29538897 5596355.69706088, 1295272.736967422 5596417.187224205)
WAY|La segnaletica è orizzontale, verticale o entrambi?|1152.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1295772.823475338 5600458.990468608, 1295770.492915523 5600437.1728357, 1295725.041488304 5600176.399427188, 1295722.970566369 5600168.204983996, 1295722.626651981 5600155.215696124, 1295677.188922864 5599893.08006772, 1295677.40813686 5599880.481468786, 1295674.466102912 5599870.029360699, 1295667.692184458 5599832.023297167, 1295661.83666351 5599796.030756484, 1295659.440746378 5599788.333222632, 1295660.068316021 5599785.109698563, 1295648.664446016 5599786.133348224, 1295620.82632998 5599788.355723095, 1295585.666403171 5599779.992690518, 1295575.971651973 5599779.237488851, 1295565.955264988 5599768.552272397, 1295567.674970095 5599758.434215656, 1295677.872928487 5599567.000095517, 1295776.934170258 5599374.31012076, 1295659.953066707 5599221.921084872, 1295775.101619343 5599019.890675285, 1295779.612095195 5599013.536724204, 1295782.933882419 5599012.68259841, 1295786.264823024 5599008.943962843, 1295792.961588237 5599001.427529912, 1295794.63861007 5598998.324645124)
